depth	min	max	median	mean
0	-68.5	-68.5	-68.5	-68.5
1	-67.4	-67.2	-67.3	-67.3
2	-65.9	-65.5	-65.7	-65.7
3	-64.2	-63.6	-63.9	-63.9
4	-62.4	-61.7	-62	-62
5	-60.4	-59.5	-59.9	-59.9
6	-58.1	-57	-57.6	-57.6
7	-55.8	-54.5	-55.1	-55.1
8	-53.3	-51.9	-52.6	-52.6
9	-51	-49.3	-50.1	-50.1
10	-48.4	-46.5	-47.4	-47.5
11	-46.2	-44.1	-45.2	-45.2
12	-43.9	-41.6	-42.7	-42.7
13	-41.6	-39	-40.2	-40.2
14	-39.3	-36.3	-37.8	-37.8
15	-36.6	-33.5	-35	-35
16	-34.3	-30.8	-32.5	-32.5
17	-31.7	-27.8	-29.6	-29.7
18	-28.9	-24.5	-26.6	-26.6
19	-26.2	-21.4	-23.6	-23.7
20	-22.5	-16.8	-19.4	-19.5
21	-14.4	-9.6	-12	-12
22	-3.8	2.4	-0.4	-0.5
23	11.4	19.9	16.3	16.1
24	29	44.1	37.9	37.6
25	38.7	61.2	51.7	51.1
26	44.4	73.4	60.4	60
27	49.1	84.9	67.9	67.8
28	52.3	96.8	74.4	74.4
29	55.7	110.4	81.1	81.6
