labID,	depth(cm),	density(g/cm^3),	210Pb(Bq/kg),	sd(210Pb),	thickness(cm),	226Ra(Bq/kg),	sd(226Ra),	settings
Pb-01,	3,	0.217,	12.05,	0.64,	1,	1.58,	0.1,	2014
Pb-02,	4,	0.1772,	10.73,	0.88,	1,	1.44,	0.16,	0
Pb-03,	7,	0.2589,	12.74,	0.74,	1,	2.11,	0.12,	2
Pb-04,	8,	0.12,	27.57,	1.46,	1,	2.06,	0.21,	
Pb-05,	12,	0.1319,	14.01,	1.17,	1,	1.96,	0.24,	
Pb-06,	16,	0.1838,	5.3,	0.6,	1,	2.02,	0.14,	
Pb-07,	20,	0.2191,	4.47,	0.59,	1,	1.55,	0.13,	
Pb-08,	24,	0.3067,	3.17,	0.46,	1,	1.56,	0.1,	
Pb-09,	28,	0.2421,	3.43,	0.45,	1,	1.52,	0.1,	
Pb-10,	32,	0.2339,	4.28,	0.55,	1,	1.95,	0.13,	
Pb-11,	36,	0.3062,	3.09,	0.37,	1,	1.55,	0.08,	
Pb-12,	40,	0.2613,	2.92,	0.38,	1,	1.91,	0.09,	
Pb-13,	44,	0.1708,	2.23,	0.4,	1,	1.25,	0.09,	
Pb-14,	48,	0.2314,	2.51,	0.34,	1,	1.4,	0.08,	
Pb-15,	53,	0.2456,	2.76,	0.39,	1,	1.83,	0.09,	
Pb-16,	59,	0.217,	2.47,	0.42,	1,	2.2,	0.1,	
